lx,ly,dx,dy
40,11,72,3
41,11,73,3
42,11,74,3
43,11,75,3
44,11,76,3
45,11,77,3
46,11,78,3
47,11,79,3
48,11,96,3
49,11,97,3
50,11,98,3
51,11,99,3
52,11,100,3
53,11,101,3
54,11,102,3
55,11,103,3
56,11,104,3
57,11,105,3
58,11,106,3
59,11,107,3
60,11,108,3
61,11,109,3
62,11,110,3
63,11,111,3
0,12,0,4
1,12,1,4
2,12,2,4
3,12,3,4
4,12,4,4
5,12,5,4
6,12,6,4
7,12,7,4
8,12,8,4
9,12,9,4
10,12,10,4
11,12,11,4
12,12,12,4
13,12,13,4
14,12,14,4
15,12,15,4
16,12,32,4
17,12,33,4
18,12,34,4
19,12,35,4
20,12,36,4
21,12,37,4
22,12,38,4
23,12,39,4
24,12,40,4
25,12,41,4
26,12,42,4
27,12,43,4
28,12,44,4
29,12,45,4
30,12,46,4
31,12,47,4
32,12,64,4
33,12,65,4
34,12,66,4
35,12,67,4
36,12,68,4
37,12,69,4
38,12,70,4
39,12,71,4
40,12,72,4
41,12,73,4
42,12,74,4
43,12,75,4
44,12,76,4
45,12,77,4
46,12,78,4
47,12,79,4
48,12,96,4
49,12,97,4
50,12,98,4
51,12,99,4
52,12,100,4
53,12,101,4
54,12,102,4
55,12,103,4
56,12,104,4
57,12,105,4
58,12,106,4
59,12,107,4
60,12,108,4
61,12,109,4
62,12,110,4
63,12,111,4
0,13,0,5
1,13,1,5
2,13,2,5
3,13,3,5
4,13,4,5
5,13,5,5
6,13,6,5
7,13,7,5
8,13,8,5
9,13,9,5
10,13,10,5
11,13,11,5
12,13,12,5
13,13,13,5
14,13,14,5
15,13,15,5
16,13,32,5
17,13,33,5
18,13,34,5
19,13,35,5
20,13,36,5
21,13,37,5
22,13,38,5
23,13,39,5
24,13,40,5
25,13,41,5
26,13,42,5
27,13,43,5
28,13,44,5
29,13,45,5
30,13,46,5
31,13,47,5
32,13,64,5
33,13,65,5
34,13,66,5
35,13,67,5
36,13,68,5
37,13,69,5
38,13,70,5
39,13,71,5
40,13,72,5
41,13,73,5
42,13,74,5
43,13,75,5
44,13,76,5
45,13,77,5
46,13,78,5
47,13,79,5
48,13,96,5
49,13,97,5
50,13,98,5
51,13,99,5
52,13,100,5
53,13,101,5
54,13,102,5
55,13,103,5
56,13,104,5
57,13,105,5
58,13,106,5
59,13,107,5
60,13,108,5
61,13,109,5
62,13,110,5
63,13,111,5
0,14,0,6
1,14,1,6
2,14,2,6
3,14,3,6
4,14,4,6
5,14,5,6
6,14,6,6
7,14,7,6
8,14,8,6
9,14,9,6
10,14,10,6
11,14,11,6
12,14,12,6
13,14,13,6
14,14,14,6
15,14,15,6
16,14,32,6
17,14,33,6
18,14,34,6
19,14,35,6
20,14,36,6
21,14,37,6
22,14,38,6
23,14,39,6
24,14,40,6
25,14,41,6
26,14,42,6
27,14,43,6
28,14,44,6
29,14,45,6
30,14,46,6
31,14,47,6
32,14,64,6
33,14,65,6
34,14,66,6
35,14,67,6
36,14,68,6
37,14,69,6
38,14,70,6
39,14,71,6
40,14,72,6
41,14,73,6
42,14,74,6
43,14,75,6
44,14,76,6
45,14,77,6
46,14,78,6
47,14,79,6
48,14,96,6
49,14,97,6
50,14,98,6
51,14,99,6
52,14,100,6
53,14,101,6
54,14,102,6
55,14,103,6
56,14,104,6
57,14,105,6
58,14,106,6
59,14,107,6
60,14,108,6
61,14,109,6
62,14,110,6
63,14,111,6
0,15,0,7
1,15,1,7
2,15,2,7
3,15,3,7
4,15,4,7
5,15,5,7
6,15,6,7
7,15,7,7
8,15,8,7
9,15,9,7
10,15,10,7
11,15,11,7
12,15,12,7
13,15,13,7
14,15,14,7
15,15,15,7
16,15,32,7
17,15,33,7
18,15,34,7
19,15,35,7
20,15,36,7
21,15,37,7
22,15,38,7
23,15,39,7
24,15,40,7
25,15,41,7
26,15,42,7
27,15,43,7
28,15,44,7
29,15,45,7
30,15,46,7
31,15,47,7
32,15,64,7
33,15,65,7
34,15,66,7
35,15,67,7
36,15,68,7
37,15,69,7
38,15,70,7
39,15,71,7
40,15,72,7
41,15,73,7
42,15,74,7
43,15,75,7
44,15,76,7
45,15,77,7
46,15,78,7
47,15,79,7
48,15,96,7
49,15,97,7
50,15,98,7
51,15,99,7
52,15,100,7
53,15,101,7
54,15,102,7
55,15,103,7
56,15,104,7
57,15,105,7
58,15,106,7
59,15,107,7
60,15,108,7
61,15,109,7
62,15,110,7
63,15,111,7
0,16,16,8
1,16,17,8
2,16,18,8
3,16,19,8
4,16,20,8
5,16,21,8
6,16,22,8
7,16,23,8
8,16,24,8
9,16,25,8
10,16,26,8
11,16,27,8
12,16,28,8
13,16,29,8
14,16,30,8
15,16,31,8
16,16,48,8
17,16,49,8
18,16,50,8
19,16,51,8
20,16,52,8
21,16,53,8
22,16,54,8
23,16,55,8
24,16,56,8
25,16,57,8
26,16,58,8
27,16,59,8
28,16,60,8
29,16,61,8
30,16,62,8
31,16,63,8
32,16,80,8
33,16,81,8
34,16,82,8
35,16,83,8
36,16,84,8
37,16,85,8
38,16,86,8
39,16,87,8
40,16,88,8
41,16,89,8
42,16,90,8
43,16,91,8
44,16,92,8
45,16,93,8
46,16,94,8
47,16,95,8
48,16,112,8
49,16,113,8
50,16,114,8
51,16,115,8
52,16,116,8
53,16,117,8
54,16,118,8
55,16,119,8
56,16,120,8
57,16,121,8
58,16,122,8
59,16,123,8
60,16,124,8
61,16,125,8
62,16,126,8
63,16,127,8
0,17,16,9
1,17,17,9
2,17,18,9
3,17,19,9
4,17,20,9
5,17,21,9
6,17,22,9
7,17,23,9
8,17,24,9
9,17,25,9
10,17,26,9
11,17,27,9
12,17,28,9
13,17,29,9
14,17,30,9
15,17,31,9
16,17,48,9
17,17,49,9
18,17,50,9
19,17,51,9
20,17,52,9
21,17,53,9
22,17,54,9
23,17,55,9
24,17,56,9
25,17,57,9
26,17,58,9
27,17,59,9
28,17,60,9
29,17,61,9
30,17,62,9
31,17,63,9
32,17,80,9
33,17,81,9
34,17,82,9
35,17,83,9
36,17,84,9
37,17,85,9
38,17,86,9
39,17,87,9
40,17,88,9
41,17,89,9
42,17,90,9
43,17,91,9
44,17,92,9
45,17,93,9
46,17,94,9
47,17,95,9
48,17,112,9
49,17,113,9
50,17,114,9
51,17,115,9
52,17,116,9
53,17,117,9
54,17,118,9
55,17,119,9
56,17,120,9
57,17,121,9
58,17,122,9
59,17,123,9
60,17,124,9
61,17,125,9
62,17,126,9
63,17,127,9
0,18,16,10
1,18,17,10
2,18,18,10
3,18,19,10
4,18,20,10
5,18,21,10
6,18,22,10
7,18,23,10
8,18,24,10
9,18,25,10
10,18,26,10
11,18,27,10
12,18,28,10
13,18,29,10
14,18,30,10
15,18,31,10
16,18,48,10
17,18,49,10
18,18,50,10
19,18,51,10
20,18,52,10
21,18,53,10
22,18,54,10
23,18,55,10
24,18,56,10
25,18,57,10
26,18,58,10
27,18,59,10
28,18,60,10
29,18,61,10
30,18,62,10
31,18,63,10
32,18,80,10
33,18,81,10
34,18,82,10
35,18,83,10
36,18,84,10
37,18,85,10
38,18,86,10
39,18,87,10
40,18,88,10
41,18,89,10
42,18,90,10
43,18,91,10
44,18,92,10
45,18,93,10
46,18,94,10
47,18,95,10
48,18,112,10
49,18,113,10
50,18,114,10
51,18,115,10
52,18,116,10
53,18,117,10
54,18,118,10
55,18,119,10
56,18,120,10
57,18,121,10
58,18,122,10
59,18,123,10
60,18,124,10
61,18,125,10
62,18,126,10
63,18,127,10
0,19,16,11
1,19,17,11
2,19,18,11
3,19,19,11
4,19,20,11
5,19,21,11
6,19,22,11
7,19,23,11
8,19,24,11
9,19,25,11
10,19,26,11
11,19,27,11
12,19,28,11
13,19,29,11
14,19,30,11
15,19,31,11
16,19,48,11
17,19,49,11
18,19,50,11
19,19,51,11
20,19,52,11
21,19,53,11
22,19,54,11
23,19,55,11
24,19,56,11
25,19,57,11
26,19,58,11
27,19,59,11
28,19,60,11
29,19,61,11
30,19,62,11
31,19,63,11
32,19,80,11
33,19,81,11
34,19,82,11
35,19,83,11
36,19,84,11
37,19,85,11
38,19,86,11
39,19,87,11
40,19,88,11
41,19,89,11
42,19,90,11
43,19,91,11
44,19,92,11
45,19,93,11
46,19,94,11
47,19,95,11
48,19,112,11
49,19,113,11
50,19,114,11
51,19,115,11
52,19,116,11
53,19,117,11
54,19,118,11
55,19,119,11
56,19,120,11
57,19,121,11
58,19,122,11
59,19,123,11
60,19,124,11
61,19,125,11
62,19,126,11
63,19,127,11
0,20,16,12
1,20,17,12
2,20,18,12
3,20,19,12
4,20,20,12
5,20,21,12
6,20,22,12
7,20,23,12
8,20,24,12
9,20,25,12
10,20,26,12
11,20,27,12
12,20,28,12
13,20,29,12
14,20,30,12
15,20,31,12
16,20,48,12
17,20,49,12
18,20,50,12
19,20,51,12
20,20,52,12
21,20,53,12
22,20,54,12
23,20,55,12
24,20,56,12
25,20,57,12
26,20,58,12
27,20,59,12
28,20,60,12
29,20,61,12
30,20,62,12
31,20,63,12
32,20,80,12
33,20,81,12
34,20,82,12
35,20,83,12
36,20,84,12
37,20,85,12
38,20,86,12
39,20,87,12
40,20,88,12
41,20,89,12
42,20,90,12
43,20,91,12
44,20,92,12
45,20,93,12
46,20,94,12
47,20,95,12
48,20,112,12
49,20,113,12
50,20,114,12
51,20,115,12
